layer_name,layer_block
.VGG,none
features.Sequential,none
features.0.Conv2d,block1
features.1.ReLU,none
features.2.Conv2d,block1
features.3.ReLU,none
features.4.MaxPool2d,block1
features.5.Conv2d,block2
features.6.ReLU,none
features.7.Conv2d,block2
features.8.ReLU,none
features.9.MaxPool2d,block2
features.10.Conv2d,block3
features.11.ReLU,none
features.12.Conv2d,block3
features.13.ReLU,none
features.14.Conv2d,block3
features.15.ReLU,none
features.16.MaxPool2d,block3
features.17.Conv2d,block4
features.18.ReLU,none
features.19.Conv2d,block4
features.20.ReLU,none
features.21.Conv2d,block4
features.22.ReLU,none
features.23.MaxPool2d,block4
features.24.Conv2d,block5
features.25.ReLU,none
features.26.Conv2d,block5
features.27.ReLU,none
features.28.Conv2d,block5
features.29.ReLU,none
features.30.MaxPool2d,block5
avgpool.AdaptiveAvgPool2d,block6
classifier.Sequential,none
classifier.0.Linear,none
classifier.1.ReLU,none
classifier.2.Dropout,none
classifier.3.Linear,none
classifier.4.ReLU,none
classifier.5.Dropout,none
classifier.6.Linear,none
