layer_name,layer_block
.VGG,none
features.Sequential,none
features.0.Conv2d,valid
features.1.ReLU,valid
features.2.Conv2d,valid
features.3.ReLU,valid
features.4.MaxPool2d,valid
features.5.Conv2d,valid
features.6.ReLU,valid
features.7.Conv2d,valid
features.8.ReLU,valid
features.9.MaxPool2d,valid
features.10.Conv2d,valid
features.11.ReLU,valid
features.12.Conv2d,valid
features.13.ReLU,valid
features.14.Conv2d,valid
features.15.ReLU,valid
features.16.MaxPool2d,valid
features.17.Conv2d,valid
features.18.ReLU,valid
features.19.Conv2d,valid
features.20.ReLU,valid
features.21.Conv2d,valid
features.22.ReLU,valid
features.23.MaxPool2d,valid
features.24.Conv2d,valid
features.25.ReLU,valid
features.26.Conv2d,valid
features.27.ReLU,valid
features.28.Conv2d,valid
features.29.ReLU,valid
features.30.MaxPool2d,valid
avgpool.AdaptiveAvgPool2d,valid
classifier.Sequential,none
classifier.0.Linear,valid
classifier.1.ReLU,valid
classifier.2.Dropout,valid
classifier.3.Linear,valid
classifier.4.ReLU,valid
classifier.5.Dropout,valid
classifier.6.Linear,none
